//input file
//in_tb	 No.

10001000	//        256
10101110	//        257
10011011	//        258
10010010	//        259
00101000	//        260
00101101	//        261
01001011	//        262
11000010	//        263
00011110	//        264
00001101	//        265
11101100	//        266
00011000	//        267
11010001	//        268
10000110	//        269
01000001	//        270
00111011	//        271
11011000	//        272
01010011	//        273
01010110	//        274
01011011	//        275
11100010	//        276
00000100	//        277
01110011	//        278
11011000	//        279
00010010	//        280
10111000	//        281
00111001	//        282
11100101	//        283
10100001	//        284
00101011	//        285
10000001	//        286
11001000	//        287
00100111	//        288
10100001	//        289
00011111	//        290
00000100	//        291
01011000	//        292
10010110	//        293
00010100	//        294
00010010	//        295
10010110	//        296
10110001	//        297
01010101	//        298
11101101	//        299
00101011	//        300
11110101	//        301
10101101	//        302
00100111	//        303
10000100	//        304
10100111	//        305
11100111	//        306
10111001	//        307
01001001	//        308
11011011	//        309
11001001	//        310
01010001	//        311
10100001	//        312
00101010	//        313
11111010	//        314
01000101	//        315
10000011	//        316
01111100	//        317
01110010	//        318
11111110	//        319
01101000	//        320
01101111	//        321
10000110	//        322
11110000	//        323
00111000	//        324
01000000	//        325
00101000	//        326
11110110	//        327
11000101	//        328
11000000	//        329
01110100	//        330
00111001	//        331
10110000	//        332
00111100	//        333
00101010	//        334
01100010	//        335
00010101	//        336
11100001	//        337
00010111	//        338
01000011	//        339
11001001	//        340
10000110	//        341
00100101	//        342
11000001	//        343
10001101	//        344
01011010	//        345
00000111	//        346
00101100	//        347
00001100	//        348
01110001	//        349
00111011	//        350
10110110	//        351
11110111	//        352
10011110	//        353
01011100	//        354
01010101	//        355
00100000	//        356
10100000	//        357
01110010	//        358
10110100	//        359
11011101	//        360
00001101	//        361
01001011	//        362
01111001	//        363
10011110	//        364
11111101	//        365
01111011	//        366
10001111	//        367
00000011	//        368
11100011	//        369
00011101	//        370
10110001	//        371
01000100	//        372
10010101	//        373
11100000	//        374
11101101	//        375
01010010	//        376
11111000	//        377
10001101	//        378
01010010	//        379
10000100	//        380
01000110	//        381
10001100	//        382
10010000	//        383
00010111	//        384
01101010	//        385
10000100	//        386
10101010	//        387
01111100	//        388
01100000	//        389
10111010	//        390
10001011	//        391
10100110	//        392
00100101	//        393
00110010	//        394
10100010	//        395
01001001	//        396
00010100	//        397
00111101	//        398
01001011	//        399
01011100	//        400
01000111	//        401
10000110	//        402
00111001	//        403
10110100	//        404
11010000	//        405
00101100	//        406
10001100	//        407
00000111	//        408
01101010	//        409
00010001	//        410
11101000	//        411
01001011	//        412
01110011	//        413
11101100	//        414
00100011	//        415
10100100	//        416
11001001	//        417
00111001	//        418
11011111	//        419
11010100	//        420
01100111	//        421
10011101	//        422
10110000	//        423
10000010	//        424
01001001	//        425
11011001	//        426
00100000	//        427
00011100	//        428
10010011	//        429
11100011	//        430
00101010	//        431
11001000	//        432
01011101	//        433
00111010	//        434
10000100	//        435
00101011	//        436
00111001	//        437
00010010	//        438
01010010	//        439
01011001	//        440
11010000	//        441
01101110	//        442
10010111	//        443
11011011	//        444
10100110	//        445
10111011	//        446
00000000	//        447
00001111	//        448
01101001	//        449
00001100	//        450
01011001	//        451
11000101	//        452
11001111	//        453
10010000	//        454
01010001	//        455
01101001	//        456
01110111	//        457
01001010	//        458
11011000	//        459
10011011	//        460
11000100	//        461
10111000	//        462
10110111	//        463
10000110	//        464
00110000	//        465
01110111	//        466
10110101	//        467
11010100	//        468
00000111	//        469
01110110	//        470
11101001	//        471
10001011	//        472
00000001	//        473
11011011	//        474
10000000	//        475
11000010	//        476
11000101	//        477
00110000	//        478
10101111	//        479
01100110	//        480
10101111	//        481
11101001	//        482
11111000	//        483
00000110	//        484
11101111	//        485
11100001	//        486
10010101	//        487
11101110	//        488
01100000	//        489
11100101	//        490
00101000	//        491
01100100	//        492
00101001	//        493
11100001	//        494
01110111	//        495
01101110	//        496
10000001	//        497
11010101	//        498
01101000	//        499
11110000	//        500
10101010	//        501
00001111	//        502
11110001	//        503
01111101	//        504
10001110	//        505
11100010	//        506
00111100	//        507
10101001	//        508
11101111	//        509
01011011	//        510
10101111	//        511
01001010	//        512
10111001	//        513
00010011	//        514
00010011	//        515
01100101	//        516
01010001	//        517
10110111	//        518
10011001	//        519
00111010	//        520
01110001	//        521
01100010	//        522
11100100	//        523
00101010	//        524
01111101	//        525
01011001	//        526
11100101	//        527
11101101	//        528
11001001	//        529
01000001	//        530
10101111	//        531
11011011	//        532
11001101	//        533
01110000	//        534
00000110	//        535
10100010	//        536
10111101	//        537
01101010	//        538
11011100	//        539
01010000	//        540
01111011	//        541
00100101	//        542
01111000	//        543
11110110	//        544
01011100	//        545
00100011	//        546
01111001	//        547
11001000	//        548
10111011	//        549
00001110	//        550
01110011	//        551
00001100	//        552
11001110	//        553
11010100	//        554
01011001	//        555
10111001	//        556
10110011	//        557
11110100	//        558
01110101	//        559
00001100	//        560
00111001	//        561
00000010	//        562
00010101	//        563
00000101	//        564
01001110	//        565
00000010	//        566
10111000	//        567
00001000	//        568
10001101	//        569
10101111	//        570
11101000	//        571
10010000	//        572
11110101	//        573
01001100	//        574
01111011	//        575
01000000	//        576
00100101	//        577
00001101	//        578
01110000	//        579
00101101	//        580
00101001	//        581
10111100	//        582
00110000	//        583
11000000	//        584
01010000	//        585
10100001	//        586
01001101	//        587
11110101	//        588
11110101	//        589
01011101	//        590
10010100	//        591
01101010	//        592
10111100	//        593
10111000	//        594
10011110	//        595
11111010	//        596
01000110	//        597
00000111	//        598
10010011	//        599
01010101	//        600
10110111	//        601
01000101	//        602
01100011	//        603
01011001	//        604
00100110	//        605
01101000	//        606
00011110	//        607
10010000	//        608
01011010	//        609
00011100	//        610
10111001	//        611
10101011	//        612
11010000	//        613
01101111	//        614
11011000	//        615
01000101	//        616
10001101	//        617
10001011	//        618
11111100	//        619
11011100	//        620
10100100	//        621
00011001	//        622
10100101	//        623
00111110	//        624
11110011	//        625
01011000	//        626
11000100	//        627
01011100	//        628
00000110	//        629
10011010	//        630
00011000	//        631
11000101	//        632
10101010	//        633
00011010	//        634
11000011	//        635
10110010	//        636
00001100	//        637
11101001	//        638
11000011	//        639
11101011	//        640
11111000	//        641
11110010	//        642
10001001	//        643
01101111	//        644
00011011	//        645
10101101	//        646
01101000	//        647
00100101	//        648
11001111	//        649
10101011	//        650
00011011	//        651
10000000	//        652
01011101	//        653
10000010	//        654
00000100	//        655
01010111	//        656
00110110	//        657
00110010	//        658
01111001	//        659
11100100	//        660
00010110	//        661
10101010	//        662
11000000	//        663
00101110	//        664
10001100	//        665
01110001	//        666
11111011	//        667
10111100	//        668
11011100	//        669
00010111	//        670
11000001	//        671
11101011	//        672
10110101	//        673
10001001	//        674
10001111	//        675
10111111	//        676
10110000	//        677
11010011	//        678
11010110	//        679
10000010	//        680
00011010	//        681
01110001	//        682
11010111	//        683
00001110	//        684
11110001	//        685
11001101	//        686
00000101	//        687
00011100	//        688
10011000	//        689
11101100	//        690
00101010	//        691
01100101	//        692
00110111	//        693
00000011	//        694
11111110	//        695
11111101	//        696
00111110	//        697
11101000	//        698
01110100	//        699
10110000	//        700
00000110	//        701
00010010	//        702
01101000	//        703
11000101	//        704
11111110	//        705
00110110	//        706
11110011	//        707
11111011	//        708
01101011	//        709
00010111	//        710
00001111	//        711
00010100	//        712
00101010	//        713
10100110	//        714
11010100	//        715
11001011	//        716
01101011	//        717
00000100	//        718
11110100	//        719
10001101	//        720
11100001	//        721
10000101	//        722
10111001	//        723
11001001	//        724
01100000	//        725
01000110	//        726
00111100	//        727
00110111	//        728
01011000	//        729
01110011	//        730
00001110	//        731
11011100	//        732
00110000	//        733
11010000	//        734
00000000	//        735
01000011	//        736
11111000	//        737
10100001	//        738
01010011	//        739
10011000	//        740
01011111	//        741
10000111	//        742
11111010	//        743
00101101	//        744
01110000	//        745
01101011	//        746
00110001	//        747
00010010	//        748
00001100	//        749
00001101	//        750
00010101	//        751
01000000	//        752
10010100	//        753
01010100	//        754
10000000	//        755
00010011	//        756
11000011	//        757
11101101	//        758
11011100	//        759
01111000	//        760
00100111	//        761
01011111	//        762
00100011	//        763
10101011	//        764
00111000	//        765
00100010	//        766
11001001	//        767
11000111	//        768
10000010	//        769
11001110	//        770
11000111	//        771
00100100	//        772
11011011	//        773
00001000	//        774
01110101	//        775
10110101	//        776
00011010	//        777
00111000	//        778
10000010	//        779
01011000	//        780
01010000	//        781
10100011	//        782
10100100	//        783
01100101	//        784
11101010	//        785
00000110	//        786
01010100	//        787
01011011	//        788
11001000	//        789
01001000	//        790
00110111	//        791
11111000	//        792
10110101	//        793
01010001	//        794
10000011	//        795
10011011	//        796
00110101	//        797
10110000	//        798
11111011	//        799
01001111	//        800
00110000	//        801
00011000	//        802
11011101	//        803
01000110	//        804
01100001	//        805
01011001	//        806
01010101	//        807
00101111	//        808
00001011	//        809
11011110	//        810
11010011	//        811
00101000	//        812
11101001	//        813
01011000	//        814
11010101	//        815
11000011	//        816
11010100	//        817
10100100	//        818
01111110	//        819
11010110	//        820
00001111	//        821
10000011	//        822
10100000	//        823
10000010	//        824
10111111	//        825
01000101	//        826
01110111	//        827
01000101	//        828
01110101	//        829
11111000	//        830
11000110	//        831
01101100	//        832
01010000	//        833
00110001	//        834
10011100	//        835
10111100	//        836
10101111	//        837
00001110	//        838
01101001	//        839
10110010	//        840
11011110	//        841
10000101	//        842
10101010	//        843
00101000	//        844
11000010	//        845
10011010	//        846
11010011	//        847
10111010	//        848
11111011	//        849
10001011	//        850
11000010	//        851
11001100	//        852
01110001	//        853
10011110	//        854
01100001	//        855
01111011	//        856
10111111	//        857
10010001	//        858
11000000	//        859
01011001	//        860
01111110	//        861
01010100	//        862
01010001	//        863
01001001	//        864
11100111	//        865
00100100	//        866
10000011	//        867
01011011	//        868
10111001	//        869
10010101	//        870
01110111	//        871
11110001	//        872
11100110	//        873
10101111	//        874
00000100	//        875
00010010	//        876
11111100	//        877
10101011	//        878
11000100	//        879
00111111	//        880
11000010	//        881
01110011	//        882
01011010	//        883
10100000	//        884
11111110	//        885
01110100	//        886
10111011	//        887
11100010	//        888
11100010	//        889
11011111	//        890
10011000	//        891
10011111	//        892
00010000	//        893
11110010	//        894
10111101	//        895
10101011	//        896
10110100	//        897
01010100	//        898
10001001	//        899
00010011	//        900
10101100	//        901
00110101	//        902
00111011	//        903
00110101	//        904
00101111	//        905
00110100	//        906
01010101	//        907
10111100	//        908
11110010	//        909
10100111	//        910
11000001	//        911
11100100	//        912
01000001	//        913
01101001	//        914
11111010	//        915
11001101	//        916
11111111	//        917
10110101	//        918
11101000	//        919
01001011	//        920
00010010	//        921
00110111	//        922
10101110	//        923
11111000	//        924
00100000	//        925
11011010	//        926
00100010	//        927
11101100	//        928
00101010	//        929
01111010	//        930
00011110	//        931
11101001	//        932
11101011	//        933
00001011	//        934
01101110	//        935
01011110	//        936
01111100	//        937
01000101	//        938
10001011	//        939
00010010	//        940
00110111	//        941
10000011	//        942
11100001	//        943
11001110	//        944
01001010	//        945
11010101	//        946
11001101	//        947
11100100	//        948
11110100	//        949
11101100	//        950
00011010	//        951
11100011	//        952
11101100	//        953
11110011	//        954
00101101	//        955
01011100	//        956
11011101	//        957
11101100	//        958
10001111	//        959
11111111	//        960
01111000	//        961
10101011	//        962
00100111	//        963
11111011	//        964
00010011	//        965
00001100	//        966
10111011	//        967
11100110	//        968
01001001	//        969
01101010	//        970
00001010	//        971
00011000	//        972
10010110	//        973
00001001	//        974
00101110	//        975
10111101	//        976
01100110	//        977
01110110	//        978
01110101	//        979
10001111	//        980
10010101	//        981
01111011	//        982
01111100	//        983
01101111	//        984
11001001	//        985
11001001	//        986
10110100	//        987
11011010	//        988
10101101	//        989
11011111	//        990
00001101	//        991
01110000	//        992
10000011	//        993
01010001	//        994
00000100	//        995
10000000	//        996
11111001	//        997
00000110	//        998
11001010	//        999
