//input file
//iteration	in_tb	 out_ref	valid_ref

        300	00101011	101	1
        301	11110101	111	1
        302	10101101	111	1
        303	00100111	101	1
        304	10000100	111	1
        305	10100111	111	1
        306	11100111	111	1
        307	10111001	111	1
        308	01001001	110	1
        309	11011011	111	1
        310	11001001	111	1
        311	01010001	110	1
        312	10100001	111	1
        313	00101010	101	1
        314	11111010	111	1
        315	01000101	110	1
        316	10000011	111	1
        317	01111100	110	1
        318	01110010	110	1
        319	11111110	111	1
        320	01101000	110	1
        321	01101111	110	1
        322	10000110	111	1
        323	11110000	111	1
        324	00111000	101	1
        325	01000000	110	1
        326	00101000	101	1
        327	11110110	111	1
        328	11000101	111	1
        329	11000000	111	1
        330	01110100	110	1
        331	00111001	101	1
        332	10110000	111	1
        333	00111100	101	1
        334	00101010	101	1
        335	01100010	110	1
        336	00010101	100	1
        337	11100001	111	1
        338	00010111	100	1
        339	01000011	110	1
        340	11001001	111	1
        341	10000110	111	1
        342	00100101	101	1
        343	11000001	111	1
        344	10001101	111	1
        345	01011010	110	1
        346	00000111	010	1
        347	00101100	101	1
        348	00001100	011	1
        349	01110001	110	1
        350	00111011	101	1
        351	10110110	111	1
        352	11110111	111	1
        353	10011110	111	1
        354	01011100	110	1
        355	01010101	110	1
        356	00100000	101	1
        357	10100000	111	1
        358	01110010	110	1
        359	10110100	111	1
        360	11011101	111	1
        361	00001101	011	1
        362	01001011	110	1
        363	01111001	110	1
        364	10011110	111	1
        365	11111101	111	1
        366	01111011	110	1
        367	10001111	111	1
        368	00000011	001	1
        369	11100011	111	1
        370	00011101	100	1
        371	10110001	111	1
        372	01000100	110	1
        373	10010101	111	1
        374	11100000	111	1
        375	11101101	111	1
        376	01010010	110	1
        377	11111000	111	1
        378	10001101	111	1
        379	01010010	110	1
        380	10000100	111	1
        381	01000110	110	1
        382	10001100	111	1
        383	10010000	111	1
        384	00010111	100	1
        385	01101010	110	1
        386	10000100	111	1
        387	10101010	111	1
        388	01111100	110	1
        389	01100000	110	1
        390	10111010	111	1
        391	10001011	111	1
        392	10100110	111	1
        393	00100101	101	1
        394	00110010	101	1
        395	10100010	111	1
        396	01001001	110	1
        397	00010100	100	1
        398	00111101	101	1
        399	01001011	110	1
        400	01011100	110	1
        401	01000111	110	1
        402	10000110	111	1
        403	00111001	101	1
        404	10110100	111	1
        405	11010000	111	1
        406	00101100	101	1
        407	10001100	111	1
        408	00000111	010	1
        409	01101010	110	1
        410	00010001	100	1
        411	11101000	111	1
        412	01001011	110	1
        413	01110011	110	1
        414	11101100	111	1
        415	00100011	101	1
        416	10100100	111	1
        417	11001001	111	1
        418	00111001	101	1
        419	11011111	111	1
        420	11010100	111	1
        421	01100111	110	1
        422	10011101	111	1
        423	10110000	111	1
        424	10000010	111	1
        425	01001001	110	1
        426	11011001	111	1
        427	00100000	101	1
        428	00011100	100	1
        429	10010011	111	1
        430	11100011	111	1
        431	00101010	101	1
        432	11001000	111	1
        433	01011101	110	1
        434	00111010	101	1
        435	10000100	111	1
        436	00101011	101	1
        437	00111001	101	1
        438	00010010	100	1
        439	01010010	110	1
        440	01011001	110	1
        441	11010000	111	1
        442	01101110	110	1
        443	10010111	111	1
        444	11011011	111	1
        445	10100110	111	1
        446	10111011	111	1
        447	00000000	xxx	0
        448	00001111	011	1
        449	01101001	110	1
        450	00001100	011	1
        451	01011001	110	1
        452	11000101	111	1
        453	11001111	111	1
        454	10010000	111	1
        455	01010001	110	1
        456	01101001	110	1
        457	01110111	110	1
        458	01001010	110	1
        459	11011000	111	1
        460	10011011	111	1
        461	11000100	111	1
        462	10111000	111	1
        463	10110111	111	1
        464	10000110	111	1
        465	00110000	101	1
        466	01110111	110	1
        467	10110101	111	1
        468	11010100	111	1
        469	00000111	010	1
        470	01110110	110	1
        471	11101001	111	1
        472	10001011	111	1
        473	00000001	000	1
        474	11011011	111	1
        475	10000000	111	1
        476	11000010	111	1
        477	11000101	111	1
        478	00110000	101	1
        479	10101111	111	1
        480	01100110	110	1
        481	10101111	111	1
        482	11101001	111	1
        483	11111000	111	1
        484	00000110	010	1
        485	11101111	111	1
        486	11100001	111	1
        487	10010101	111	1
        488	11101110	111	1
        489	01100000	110	1
        490	11100101	111	1
        491	00101000	101	1
        492	01100100	110	1
        493	00101001	101	1
        494	11100001	111	1
        495	01110111	110	1
        496	01101110	110	1
        497	10000001	111	1
        498	11010101	111	1
        499	01101000	110	1
        500	11110000	111	1
        501	10101010	111	1
        502	00001111	011	1
        503	11110001	111	1
        504	01111101	110	1
        505	10001110	111	1
        506	11100010	111	1
        507	00111100	101	1
        508	10101001	111	1
        509	11101111	111	1
        510	01011011	110	1
        511	10101111	111	1
        512	01001010	110	1
        513	10111001	111	1
        514	00010011	100	1
        515	00010011	100	1
        516	01100101	110	1
        517	01010001	110	1
        518	10110111	111	1
        519	10011001	111	1
        520	00111010	101	1
        521	01110001	110	1
        522	01100010	110	1
        523	11100100	111	1
        524	00101010	101	1
        525	01111101	110	1
        526	01011001	110	1
        527	11100101	111	1
        528	11101101	111	1
        529	11001001	111	1
        530	01000001	110	1
        531	10101111	111	1
        532	11011011	111	1
        533	11001101	111	1
        534	01110000	110	1
        535	00000110	010	1
        536	10100010	111	1
        537	10111101	111	1
        538	01101010	110	1
        539	11011100	111	1
        540	01010000	110	1
        541	01111011	110	1
        542	00100101	101	1
        543	01111000	110	1
        544	11110110	111	1
        545	01011100	110	1
        546	00100011	101	1
        547	01111001	110	1
        548	11001000	111	1
        549	10111011	111	1
        550	00001110	011	1
        551	01110011	110	1
        552	00001100	011	1
        553	11001110	111	1
        554	11010100	111	1
        555	01011001	110	1
        556	10111001	111	1
        557	10110011	111	1
        558	11110100	111	1
        559	01110101	110	1
        560	00001100	011	1
        561	00111001	101	1
        562	00000010	001	1
        563	00010101	100	1
        564	00000101	010	1
        565	01001110	110	1
        566	00000010	001	1
        567	10111000	111	1
        568	00001000	011	1
        569	10001101	111	1
        570	10101111	111	1
        571	11101000	111	1
        572	10010000	111	1
        573	11110101	111	1
        574	01001100	110	1
        575	01111011	110	1
        576	01000000	110	1
        577	00100101	101	1
        578	00001101	011	1
        579	01110000	110	1
        580	00101101	101	1
        581	00101001	101	1
        582	10111100	111	1
        583	00110000	101	1
        584	11000000	111	1
        585	01010000	110	1
        586	10100001	111	1
        587	01001101	110	1
        588	11110101	111	1
        589	11110101	111	1
        590	01011101	110	1
        591	10010100	111	1
        592	01101010	110	1
        593	10111100	111	1
        594	10111000	111	1
        595	10011110	111	1
        596	11111010	111	1
        597	01000110	110	1
        598	00000111	010	1
        599	10010011	111	1
        600	01010101	110	1
        601	10110111	111	1
        602	01000101	110	1
        603	01100011	110	1
        604	01011001	110	1
        605	00100110	101	1
        606	01101000	110	1
        607	00011110	100	1
        608	10010000	111	1
        609	01011010	110	1
        610	00011100	100	1
        611	10111001	111	1
        612	10101011	111	1
        613	11010000	111	1
        614	01101111	110	1
        615	11011000	111	1
        616	01000101	110	1
        617	10001101	111	1
        618	10001011	111	1
        619	11111100	111	1
        620	11011100	111	1
        621	10100100	111	1
        622	00011001	100	1
        623	10100101	111	1
        624	00111110	101	1
        625	11110011	111	1
        626	01011000	110	1
        627	11000100	111	1
        628	01011100	110	1
        629	00000110	010	1
        630	10011010	111	1
        631	00011000	100	1
        632	11000101	111	1
        633	10101010	111	1
        634	00011010	100	1
        635	11000011	111	1
        636	10110010	111	1
        637	00001100	011	1
        638	11101001	111	1
        639	11000011	111	1
        640	11101011	111	1
        641	11111000	111	1
        642	11110010	111	1
        643	10001001	111	1
        644	01101111	110	1
        645	00011011	100	1
        646	10101101	111	1
        647	01101000	110	1
        648	00100101	101	1
        649	11001111	111	1
        650	10101011	111	1
        651	00011011	100	1
        652	10000000	111	1
        653	01011101	110	1
        654	10000010	111	1
        655	00000100	010	1
        656	01010111	110	1
        657	00110110	101	1
        658	00110010	101	1
        659	01111001	110	1
        660	11100100	111	1
        661	00010110	100	1
        662	10101010	111	1
        663	11000000	111	1
        664	00101110	101	1
        665	10001100	111	1
        666	01110001	110	1
        667	11111011	111	1
        668	10111100	111	1
        669	11011100	111	1
        670	00010111	100	1
        671	11000001	111	1
        672	11101011	111	1
        673	10110101	111	1
        674	10001001	111	1
        675	10001111	111	1
        676	10111111	111	1
        677	10110000	111	1
        678	11010011	111	1
        679	11010110	111	1
        680	10000010	111	1
        681	00011010	100	1
        682	01110001	110	1
        683	11010111	111	1
        684	00001110	011	1
        685	11110001	111	1
        686	11001101	111	1
        687	00000101	010	1
        688	00011100	100	1
        689	10011000	111	1
        690	11101100	111	1
        691	00101010	101	1
        692	01100101	110	1
        693	00110111	101	1
        694	00000011	001	1
        695	11111110	111	1
        696	11111101	111	1
        697	00111110	101	1
        698	11101000	111	1
        699	01110100	110	1
        700	10110000	111	1
        701	00000110	010	1
        702	00010010	100	1
        703	01101000	110	1
        704	11000101	111	1
        705	11111110	111	1
        706	00110110	101	1
        707	11110011	111	1
        708	11111011	111	1
        709	01101011	110	1
        710	00010111	100	1
        711	00001111	011	1
        712	00010100	100	1
        713	00101010	101	1
        714	10100110	111	1
        715	11010100	111	1
        716	11001011	111	1
        717	01101011	110	1
        718	00000100	010	1
        719	11110100	111	1
        720	10001101	111	1
        721	11100001	111	1
        722	10000101	111	1
        723	10111001	111	1
        724	11001001	111	1
        725	01100000	110	1
        726	01000110	110	1
        727	00111100	101	1
        728	00110111	101	1
        729	01011000	110	1
        730	01110011	110	1
        731	00001110	011	1
        732	11011100	111	1
        733	00110000	101	1
        734	11010000	111	1
        735	00000000	xxx	0
        736	01000011	110	1
        737	11111000	111	1
        738	10100001	111	1
        739	01010011	110	1
        740	10011000	111	1
        741	01011111	110	1
        742	10000111	111	1
        743	11111010	111	1
        744	00101101	101	1
        745	01110000	110	1
        746	01101011	110	1
        747	00110001	101	1
        748	00010010	100	1
        749	00001100	011	1
        750	00001101	011	1
        751	00010101	100	1
        752	01000000	110	1
        753	10010100	111	1
        754	01010100	110	1
        755	10000000	111	1
        756	00010011	100	1
        757	11000011	111	1
        758	11101101	111	1
        759	11011100	111	1
        760	01111000	110	1
        761	00100111	101	1
        762	01011111	110	1
        763	00100011	101	1
        764	10101011	111	1
        765	00111000	101	1
        766	00100010	101	1
        767	11001001	111	1
        768	11000111	111	1
        769	10000010	111	1
        770	11001110	111	1
        771	11000111	111	1
        772	00100100	101	1
        773	11011011	111	1
        774	00001000	011	1
        775	01110101	110	1
        776	10110101	111	1
        777	00011010	100	1
        778	00111000	101	1
        779	10000010	111	1
        780	01011000	110	1
        781	01010000	110	1
        782	10100011	111	1
        783	10100100	111	1
        784	01100101	110	1
        785	11101010	111	1
        786	00000110	010	1
        787	01010100	110	1
        788	01011011	110	1
        789	11001000	111	1
        790	01001000	110	1
        791	00110111	101	1
        792	11111000	111	1
        793	10110101	111	1
        794	01010001	110	1
        795	10000011	111	1
        796	10011011	111	1
        797	00110101	101	1
        798	10110000	111	1
        799	11111011	111	1
        800	01001111	110	1
        801	00110000	101	1
        802	00011000	100	1
        803	11011101	111	1
        804	01000110	110	1
        805	01100001	110	1
        806	01011001	110	1
        807	01010101	110	1
        808	00101111	101	1
        809	00001011	011	1
        810	11011110	111	1
        811	11010011	111	1
        812	00101000	101	1
        813	11101001	111	1
        814	01011000	110	1
        815	11010101	111	1
        816	11000011	111	1
        817	11010100	111	1
        818	10100100	111	1
        819	01111110	110	1
        820	11010110	111	1
        821	00001111	011	1
        822	10000011	111	1
        823	10100000	111	1
        824	10000010	111	1
        825	10111111	111	1
        826	01000101	110	1
        827	01110111	110	1
        828	01000101	110	1
        829	01110101	110	1
        830	11111000	111	1
        831	11000110	111	1
        832	01101100	110	1
        833	01010000	110	1
        834	00110001	101	1
        835	10011100	111	1
        836	10111100	111	1
        837	10101111	111	1
        838	00001110	011	1
        839	01101001	110	1
        840	10110010	111	1
        841	11011110	111	1
        842	10000101	111	1
        843	10101010	111	1
        844	00101000	101	1
        845	11000010	111	1
        846	10011010	111	1
        847	11010011	111	1
        848	10111010	111	1
        849	11111011	111	1
        850	10001011	111	1
        851	11000010	111	1
        852	11001100	111	1
        853	01110001	110	1
        854	10011110	111	1
        855	01100001	110	1
        856	01111011	110	1
        857	10111111	111	1
        858	10010001	111	1
        859	11000000	111	1
        860	01011001	110	1
        861	01111110	110	1
        862	01010100	110	1
        863	01010001	110	1
        864	01001001	110	1
        865	11100111	111	1
        866	00100100	101	1
        867	10000011	111	1
        868	01011011	110	1
        869	10111001	111	1
        870	10010101	111	1
        871	01110111	110	1
        872	11110001	111	1
        873	11100110	111	1
        874	10101111	111	1
        875	00000100	010	1
        876	00010010	100	1
        877	11111100	111	1
        878	10101011	111	1
        879	11000100	111	1
        880	00111111	101	1
        881	11000010	111	1
        882	01110011	110	1
        883	01011010	110	1
        884	10100000	111	1
        885	11111110	111	1
        886	01110100	110	1
        887	10111011	111	1
        888	11100010	111	1
        889	11100010	111	1
        890	11011111	111	1
        891	10011000	111	1
        892	10011111	111	1
        893	00010000	100	1
        894	11110010	111	1
        895	10111101	111	1
        896	10101011	111	1
        897	10110100	111	1
        898	01010100	110	1
        899	10001001	111	1
        900	00010011	100	1
        901	10101100	111	1
        902	00110101	101	1
        903	00111011	101	1
        904	00110101	101	1
        905	00101111	101	1
        906	00110100	101	1
        907	01010101	110	1
        908	10111100	111	1
        909	11110010	111	1
        910	10100111	111	1
        911	11000001	111	1
        912	11100100	111	1
        913	01000001	110	1
        914	01101001	110	1
        915	11111010	111	1
        916	11001101	111	1
        917	11111111	111	1
        918	10110101	111	1
        919	11101000	111	1
        920	01001011	110	1
        921	00010010	100	1
        922	00110111	101	1
        923	10101110	111	1
        924	11111000	111	1
        925	00100000	101	1
        926	11011010	111	1
        927	00100010	101	1
        928	11101100	111	1
        929	00101010	101	1
        930	01111010	110	1
        931	00011110	100	1
        932	11101001	111	1
        933	11101011	111	1
        934	00001011	011	1
        935	01101110	110	1
        936	01011110	110	1
        937	01111100	110	1
        938	01000101	110	1
        939	10001011	111	1
        940	00010010	100	1
        941	00110111	101	1
        942	10000011	111	1
        943	11100001	111	1
        944	11001110	111	1
        945	01001010	110	1
        946	11010101	111	1
        947	11001101	111	1
        948	11100100	111	1
        949	11110100	111	1
        950	11101100	111	1
        951	00011010	100	1
        952	11100011	111	1
        953	11101100	111	1
        954	11110011	111	1
        955	00101101	101	1
        956	01011100	110	1
        957	11011101	111	1
        958	11101100	111	1
        959	10001111	111	1
        960	11111111	111	1
        961	01111000	110	1
        962	10101011	111	1
        963	00100111	101	1
        964	11111011	111	1
        965	00010011	100	1
        966	00001100	011	1
        967	10111011	111	1
        968	11100110	111	1
        969	01001001	110	1
        970	01101010	110	1
        971	00001010	011	1
        972	00011000	100	1
        973	10010110	111	1
        974	00001001	011	1
        975	00101110	101	1
        976	10111101	111	1
        977	01100110	110	1
        978	01110110	110	1
        979	01110101	110	1
        980	10001111	111	1
        981	10010101	111	1
        982	01111011	110	1
        983	01111100	110	1
        984	01101111	110	1
        985	11001001	111	1
        986	11001001	111	1
        987	10110100	111	1
        988	11011010	111	1
        989	10101101	111	1
        990	11011111	111	1
        991	00001101	011	1
        992	01110000	110	1
        993	10000011	111	1
        994	01010001	110	1
        995	00000100	010	1
        996	10000000	111	1
        997	11111001	111	1
        998	00000110	010	1
        999	11001010	111	1
